団体コード,総数,100歳以上
132055,134340,78
132063,253324,89
132071,110322,34
132080,225849,88
132098,423067,183
132101,116980,59
132110,185324,74
132128,180784,65
132136,148215,70
132144,118746,56
132152,73943,29
132187,55195,31
132195,79639,30
132209,84855,23
132217,73374,45
132225,115045,40
132233,70811,27
132241,145891,63
132250,87906,24
132276,55011,17
132284,80663,51
132292,195901,55
133001,57486,60
133035,33041,22
133051,16929,20
133078,2273,4
133086,5243,14
133604,26042,23
133612,7937,11
133621,314,0
133639,2743,3
133647,1875,0
133817,2541,1
133825,302,0
134015,7602,7
134023,160,0
134210,2568,1
140007,8969530,3538
141003,3649259,1400
141011,278561,84
141020,229425,95
141038,94080,49
141046,135407,36
141054,189756,96
141062,200912,83
141071,164006,71
141089,198629,96
141097,335748,131
141101,273592,93
141119,213510,71
141127,246030,97
141135,177194,60
141143,123987,53
141151,121465,46
141160,152391,77
141178,305303,109
141186,209263,53
141305,1438462,470
141313,215244,71
141321,159605,55
141330,242737,76
141348,221584,56
141356,202867,84
141364,224488,61
141372,171937,67
141500,704467,216
141518,170016,41
141526,264876,60
141534,269575,115
142018,406648,249
142034,252882,113
142042,175141,149
142051,423069,179
142069,191809,102
142077,240294,88
142085,59690,31
142107,44900,27
142115,159768,58
142123,219162,65
142131,229426,75
142140,98373,32
142158,128840,31
142166,127601,37
142174,42977,25
142182,82064,24
143006,33213,22
143014,33213,22
143201,47736,14
143219,47736,14
143405,61814,41
143413,32895,22
143421,28919,19
143600,65622,35
143618,9348,6
143626,17090,5
143634,11251,9
143642,10783,9
143669,17150,6
143804,44631,40
143821,11730,15
143839,7495,6
143847,25406,19
144002,41682,15
144011,38664,14
144029,3018,1
150002,2286482,1589
151009,794991,450
151017,75143,38
151025,137552,55
151033,174793,116
151041,69057,40
151050,77547,47
151068,45645,26
151076,156710,93
151084,58544,35
152021,272857,163
152048,99615,53
152056,85574,56
152064,99146,52
152081,36498,35
152099,28135,22
152102,54941,68
152111,41014,24
152129,62367,47
152137,80796,57
152161,44101,37
152170,33343,25
152188,51796,42
152226,195842,152
152234,43482,48
152242,57258,76
152251,37331,36
152269,57439,44
152277,30145,21
153001,14166,7
153079,14166,7
153401,8307,8
153427,8307,8
153605,12101,8
153613,12101,8
153800,11751,15
153851,11751,15
154008,4579,6
154059,4579,6
154601,8009,5
154610,8009,5
154806,9968,22
154822,9968,22
155004,4701,5
155047,4701,5
155802,6229,5
155811,5876,5
155861,353,0
160008,1059931,767
162019,412493,240
162027,171398,153
162043,42330,30
162051,48669,30
162060,33106,19
162078,41448,34
162086,48506,29
162094,30368,30
162108,51753,61
162116,91891,49
163201,50416,42
163210,2996,2
163228,21036,22
163236,26384,18
163406,37553,50
163422,25172,32
163431,12381,18
170003,1141345,692
172014,449517,259
172022,54060,43
172031,107021,67
172049,28044,25
172057,15137,17
172065,67885,40
172073,22257,21
172090,34800,22
172103,112085,55
172111,48957,27
172120,51355,23
173207,6263,4
173240,6263,4
173606,64302,29
173614,37550,18
173657,26752,11
173801,34613,27
173843,21129,14
173860,13484,13
174009,18286,11
174076,18286,11
174602,26763,22
174611,8654,4
174637,18109,18
180009,782230,499
182010,261829,181
182028,66117,25
182044,29766,23
182052,33905,16
182061,23897,18
182079,68365,40
182087,28467,12
182095,79803,53
182109,91454,53
183202,18745,7
183229,18745,7
183806,2704,10
183822,2704,10
184004,10955,10
184047,10955,10
184209,22197,15
184233,22197,15
184403,9828,9
184420,9828,9
184802,18802,16
184811,10511,7
184837,8291,9
185001,15396,11
185019,15396,11
190004,830262,594
192015,186492,133
192023,49499,34
192040,30571,24
192058,35697,38
192066,25320,25
192074,29832,17
192082,71325,39
192091,47244,53
192104,74365,18
192112,69477,35
192121,23941,18
192139,32698,40
192147,29525,14
193402,16132,21
193461,16132,21
193607,37352,54
193640,1120,0
193658,12610,22
193666,8146,15
193682,15476,17
193801,18966,6
193844,18966,6
194204,50495,24
194221,1751,0
194239,4426,0
194247,9219,4
194255,5677,2
194298,3142,7
