団体コード,総数
322091,39755
323403,13207
323438,13207
323802,5050
323861,5050
324400,19476
324418,3410
324485,4940
324493,11126
325007,13963
325015,7703
325058,6260
325201,20422
325252,2294
325261,2908
325279,602
325287,14618
330001,1903779
331007,697437
331015,288982
331023,144436
331031,95430
331040,168589
332020,478652
332038,102189
332046,60687
332054,49951
332071,41147
332089,67209
332097,31249
332101,30583
332119,35321
332127,37537
332135,44296
332143,46956
332151,28515
332160,34951
333409,14413
333468,14413
334201,12317
334235,12317
334405,11086
334456,11086
334600,14377
334618,14377
335801,944
335860,944
336009,13337
336068,13337
336203,17383
336220,11236
336238,6147
336408,1471
336432,1471
336602,19874
336637,5009
336661,14865
336807,11897
336815,11897
340006,2812091
341002,1176642
341011,127801
341029,119498
341037,139556
341045,186335
341053,240449
341061,146044
341070,79557
341088,137402
342025,227891
342033,26564
342041,95045
342050,138662
342076,463371
342084,40307
342092,53490
342106,36638
342114,27480
342122,180001
342131,116150
342149,29137
342157,23844
343005,117594
343021,51519
343048,28840
343072,24263
343099,12972
343609,25516
343684,6625
343692,18891
344206,7717
344311,7717
344605,16590
344621,16590
345407,9452
345458,9452
350001,1394042
352012,265333
352021,166345
352039,192380
352047,49355
352063,116192
352071,56068
352080,136727
352101,51976
352110,35200
352128,32719
352136,25435
352152,145085
352161,63343
353001,17144
353051,17144
353205,6411
353213,6411
353400,30850
353418,2944
353434,15585
353442,12321
355003,3479
355020,3479
360007,758844
362018,254256
362026,59192
362034,38893
362042,74607
362051,42087
362069,38285
362077,30040
362085,27453
363006,7034
363014,5427
363022,1607
363201,2451
363219,2451
363405,31665
363413,26051
363421,5614
363600,8844
363685,8844
363804,21087
363839,4343
363871,7059
363880,9685
364002,98703
364011,15244
364029,22962
364037,34762
364045,13513
364053,12222
364606,9547
364681,9547
364801,14700
364894,14700
370002,987146
372013,425229
372021,111709
372030,53608
372048,32356
372056,61021
372064,49867
372072,31738
372081,66805
373206,29524
373222,14415
373249,15109
373401,28352
373419,28352
373605,3138
373648,3138
373800,42411
373869,18055
373877,24356
374008,51388
374032,9353
374041,22974
374067,19061
380008,1394413
382019,513003
382027,160585
382035,78430
382043,35071
382051,120680
382060,110352
382078,44734
382108,37633
382132,88696
382141,39509
382159,33418
383406,6895
383562,6895
383805,8736
383864,8736
384003,52315
384011,30773
384020,21542
384208,17132
384224,17132
384402,9853
384429,9853
384801,14895
384844,4118
384887,10777
385000,22476
385069,22476
390003,728616
392014,332478
392022,14160
392031,17907
392049,47807
392057,27524
392065,22331
392081,21241
392090,14234
392103,34642
392111,33629
392120,26380
393002,17584
393011,2614
393029,3349
393037,2754
393045,2787
393053,1345
393061,908
393070,3827
393401,7527
393410,3514
393444,4013
393606,4413
393631,4009
393649,404
393801,29395
393860,23674
393878,5721
394009,58846
394017,7170
394025,13194
394033,5892
394050,3635
394106,5171
394114,6042
394122,17742
394203,18518
394246,5366
394271,1633
394289,11519
400009,5062176
401005,954377
401013,100624
401030,83279
401056,58270
401064,176255
401072,212760
401081,68016
401099,255173
401307,1482778
401315,295506
401323,215722
401331,178760
401340,252507
401358,202489
401366,122879
401374,214915
402028,117467
402036,303425
402044,56979
402052,128916
402061,48686
402079,67521
402109,65034
402117,48752
402125,35134
402133,72392
402141,26156
402150,42683
402168,58740
402176,102769
402184,112116
402192,99396
402206,96303
402214,71530
402231,57979
402249,61376
402257,30399
402265,28291
402273,39462
402281,54345
402290,38420
402303,99555
403008,50195
403059,50195
403407,227512
403415,37059
403423,31479
403431,45168
403440,27690
403458,31682
403482,8515
403491,45919
403806,94129
403814,14275
403822,28620
403831,31990
403849,19244
404004,24234
404012,7841
404021,16393
404209,13723
404217,13723
404403,31691
404471,29458
404489,2233
405001,15426
405035,15426
405205,14250
405221,14250
405400,19707
405442,19707
406007,80407
406015,11367
406023,10368
406040,9291
406058,17428
406082,5282
406091,3243
406104,23428
406201,56427
406210,36080
406252,20347
406406,33494
406422,6802
406465,7763
406473,18929
410004,832834
412015,233229
412023,124407
412031,71914
412040,19805
412058,55496
412066,49506
412074,30079
412082,45476
412091,26879
412104,31942
413208,16128
413275,16128
413402,52277
413411,17269
413453,9566
413461,25442
413801,5891
413879,5891
414000,20407
414018,20407
414204,40297
414239,6805
414247,9617
414255,23875
414409,9101
414417,9101
420000,1381794
422011,426429
422029,254771
422037,46142
422045,138585
422053,94952
422070,32515
422088,23593
422096,31661
422100,27521
422118,38215
422126,28596
422134,44725
422142,47768
423009,72492
423076,42483
423084,30009
423203,37351
423211,8217
423220,14180
423238,14954
423807,16357
423831,2568
423912,13789
424005,20121
424111,20121
430005,1786651
431001,729092
431010,174592
431028,188558
431036,91759
431044,129415
431052,144768
432024,128037
432032,33425
432041,53710
432059,25417
432067,67035
432083,53394
432105,49414
432113,37471
432121,28441
432130,59962
432148,26941
432156,83852
432164,60485
433403,10538
433489,10538
433608,41949
433641,5382
433675,10040
433683,15997
433691,10530
434001,74789
434035,34033
434043,40756
434205,37521
434230,4141
434248,7361
434256,1520
434281,6607
434329,6818
434337,11074
434400,86175
434418,17264
434426,9094
434434,33125
434442,10928
434477,15764
434604,12251
434680,12251
434809,22866
434825,18086
434841,4780
435007,56378
435015,11016
435058,9962
435066,4080
435074,2294
435104,4625
435112,1162
435121,3594
435139,3896
435147,15749
435201,7508
435317,7508
440001,1165898
442011,476957
442020,115594
442038,83986
442046,67306
442054,73580
442062,39635
442071,18455
442089,22609
442097,22783
442101,30104
442119,57092
442127,37316
442135,34822
442143,29141
443204,2152
443221,2152
443409,28454
443417,28454
444600,25912
444618,9852
444626,16060
450006,1114552
452017,402570
452025,166387
452033,126331
452041,54611
452050,46678
452068,62484
452076,19162
452084,31188
452092,20131
453404,25995
453412,25995
453609,9673
453617,9673
453803,27393
453820,19855
